Age 0 3 0 3 B-age
Field 77 82 683 688 I-clinical_variable
Analyzer 83 91 689 697 I-clinical_variable
SITA 92 96 698 702 I-clinical_variable
Standard 97 105 703 711 I-clinical_variable
24 106 108 712 714 I-clinical_variable
- 108 109 714 715 I-clinical_variable
2 109 110 715 716 I-clinical_variable
Test 111 115 717 721 I-clinical_variable
grading 116 123 722 729 I-clinical_variable
scale 124 129 730 735 I-clinical_variable
( 130 131 736 737 O
Table 131 136 737 742 O
4 137 138 743 744 O
) 138 139 744 745 O
at 140 142 746 748 O
presentation 143 155 749 761 O
and 156 159 762 765 O
a 160 161 766 767 O
worsening 162 171 768 777 O
to 172 174 778 780 O
moderate 175 183 781 789 O
or 184 186 790 792 O
greater 187 194 793 800 O
visual 195 201 801 807 O
function 202 210 808 816 O
loss 211 215 817 821 O
, 215 216 821 822 O
defined 217 224 823 830 O
as 225 227 831 833 O
grades 228 234 834 840 O
3 235 236 841 842 B-lower_bound
- 236 237 842 843 O
5 237 238 843 844 B-upper_bound
, 238 239 844 845 O
after 240 245 846 851 O
1 246 247 852 853 B-lower_bound
month 248 253 854 859 I-lower_bound
of 254 256 860 862 O
treatment 257 266 863 872 B-treatment
and/or 267 273 873 879 O
medication 274 284 880 890 B-treatment
intolerance 285 296 891 902 O

Moderate 0 8 903 911 O
visual 9 15 912 918 B-chronic_disease
function 16 24 919 927 I-chronic_disease
loss 25 29 928 932 I-chronic_disease
, 29 30 932 933 O
defined 31 38 934 941 O
as 39 41 942 944 O
grade 42 47 945 950 O
3 48 49 951 952 O
on 50 52 953 955 O
the 53 56 956 959 O
Humphrey 57 65 960 968 B-clinical_variable
Visual 66 72 969 975 I-clinical_variable
Field 73 78 976 981 I-clinical_variable
Analyzer 79 87 982 990 I-clinical_variable
SITA 88 92 991 995 I-clinical_variable
Standard 93 101 996 1004 I-clinical_variable
24 102 104 1005 1007 I-clinical_variable
- 104 105 1007 1008 I-clinical_variable
2 105 106 1008 1009 I-clinical_variable
Test 107 111 1010 1014 I-clinical_variable
grading 112 119 1015 1022 I-clinical_variable
scale 120 125 1023 1028 I-clinical_variable
( 126 127 1029 1030 O
Table 127 132 1030 1035 O
4 133 134 1036 1037 O
) 134 135 1037 1038 O
at 136 138 1039 1041 O
presentation 139 151 1042 1054 O
and 152 155 1055 1058 O
failure 156 163 1059 1066 O
of 164 166 1067 1069 O
treatment 167 176 1070 1079 B-treatment
with 177 181 1080 1084 I-treatment
acetazolamide 182 195 1085 1098 I-treatment
( 196 197 1099 1100 I-treatment
Diamox 197 203 1100 1106 I-treatment
) 203 204 1106 1107 I-treatment
given 205 210 1108 1113 O
at 211 213 1114 1116 O
efficient 214 223 1117 1126 O
dose 224 228 1127 1131 O
( 229 230 1132 1133 O
2g 230 232 1133 1135 O
/ 232 233 1135 1136 O
d 233 234 1136 1137 O
or 235 237 1138 1140 O
maximum 238 245 1141 1148 O
tolerated 246 255 1149 1158 O
dose 256 260 1159 1163 O
) 260 261 1163 1164 O
or 262 264 1165 1167 O
Topiramate 265 275 1168 1178 B-treatment
( 276 277 1179 1180 I-treatment
Topamax 277 284 1180 1187 I-treatment
) 284 285 1187 1188 I-treatment
given 286 291 1189 1194 O
at 292 294 1195 1197 O
efficient 295 304 1198 1207 O
dose 305 309 1208 1212 O
( 310 311 1213 1214 O
maximum 311 318 1214 1221 O
150 319 322 1222 1225 B-upper_bound
mg 322 324 1225 1227 I-upper_bound
daily 325 330 1228 1233 I-upper_bound
) 330 331 1233 1234 O

Severe 0 6 1235 1241 O
visual 7 13 1242 1248 B-chronic_disease
function 14 22 1249 1257 I-chronic_disease
loss 23 27 1258 1262 I-chronic_disease
, 27 28 1262 1263 O
defined 29 36 1264 1271 O
as 37 39 1272 1274 O
grades 40 46 1275 1281 O
4 47 48 1282 1283 O
and 49 52 1284 1287 O
5 53 54 1288 1289 O
on 55 57 1290 1292 O
the 58 61 1293 1296 O
Humphrey 62 70 1297 1305 B-clinical_variable
Visual 71 77 1306 1312 I-clinical_variable
Field 78 83 1313 1318 I-clinical_variable
Analyzer 84 92 1319 1327 I-clinical_variable
SITA 93 97 1328 1332 I-clinical_variable
Standard 98 106 1333 1341 I-clinical_variable
24 107 109 1342 1344 I-clinical_variable
- 109 110 1344 1345 I-clinical_variable
2 110 111 1345 1346 I-clinical_variable
Test 112 116 1347 1351 I-clinical_variable
grading 117 124 1352 1359 I-clinical_variable
scale 125 130 1360 1365 I-clinical_variable
( 131 132 1366 1367 O
Table 132 137 1367 1372 O
4 138 139 1373 1374 O
) 139 140 1374 1375 O
at 141 143 1376 1378 O
initial 144 151 1379 1386 O
presentation 152 164 1387 1399 O

Visual 0 6 1400 1406 B-chronic_disease
field 7 12 1407 1412 I-chronic_disease
loss 13 17 1413 1417 I-chronic_disease

